,id,text,created_at,call of duty,retweet_count,reply_count,like_count,quote_count,polarity
612,1601466491945164800,You know why Splatoon won an award instead of Call of Duty and Overwatch   Because those games is for babies ,2022-12-10T06:39:00.000Z,1.0,0,0,3,0,0.0
1431,1601386551014932481,Call of Duty  Modern Warfare II and Warzone Season Reloaded Intel ,2022-12-10T01:21:20.000Z,1.0,8,0,8,0,0.2
2047,1601358153655934976,  RT   Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T23:28:30.000Z,1.0,0,0,0,0,0.1787878787878788
2070,1601357421003218944,  for Best first person shooters goes to Metroid Prime  Call of Duty just by being on the Wii earns awards,2022-12-09T23:25:35.000Z,1.0,0,0,0,0,0.625
2830,1601321959572529152,going to live stream Call of Duty   ,2022-12-09T21:04:40.000Z,1.0,0,0,2,0,0.13636363636363635
4370,1601275295834611717,Yeah  I m a Splatoon Fan  but I m a Call Of Duty Enjoyer,2022-12-09T17:59:15.000Z,1.0,0,0,7,0,0.0
4857,1601263779701923840,Games that are not great compared to their pre released editions   Battlefield   Fallout   Madden  Dirt   Call of Duty Moddern Warfare And more  What are your own picks of games that do not hold up to the years prire ,2022-12-09T17:13:29.000Z,1.0,0,0,1,0,0.2333333333333333
5788,1601241584053661696,Sbscribe to my YouTube channel for moreCall of Duty videos,2022-12-09T15:45:17.000Z,1.0,0,0,2,0,0.0
6457,1601227744956018688,Call of Duty MW2  2022  losing to Splatoon for Best Multiplayer Game at The Game Awards is both really surprising and really hilarious ,2022-12-09T14:50:18.000Z,1.0,0,0,0,0,0.27999999999999997
8090,1601196610717102082,Mejor Multijugador  Splatoon  Call of Duty Modern Warfare  MultiVersus Overwatch  Teenage Mutant Ninja Turtles Shredder s Revenge,2022-12-09T12:46:35.000Z,1.0,0,0,1,0,0.1
8795,1601181440858681344,Good Morning  Call of Duty is back again and his weekend   ,2022-12-09T11:46:18.000Z,1.0,0,3,7,0,0.35
8885,1601179372224122880,Call of duty modern warfare,2022-12-09T11:38:05.000Z,1.0,0,0,0,0,0.2
9480,1601165742829105152,Single player magic shooter from the creators of Dead Space and Call of Duty   we got our first look at Immortals of Aveum ,2022-12-09T10:43:55.000Z,1.0,0,0,1,0,0.11964285714285715
10139,1601151861759021056,Splatoon beat Call of Duty for best multiplayer that was really funny tho,2022-12-09T09:48:46.000Z,1.0,0,0,0,0,0.625
10468,1601145987480764416,biggest W winning as best multiplayerHow about that call of duty and overwatch   ,2022-12-09T09:25:25.000Z,1.0,0,0,0,0,0.75
11140,1601133505945030657,The Game Awards Nintendo Switch Hit Bayonetta Beats a Billion DollarAction Packed Call of Duty Blockbuster From Activision via,2022-12-09T08:35:50.000Z,1.0,0,0,0,0,-0.4
12237,1601110436098674688,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T07:04:09.000Z,1.0,0,0,0,0,0.1787878787878788
12278,1601109906215817216,Are you ready to drop in This is Call of Duty MW,2022-12-09T07:02:03.000Z,1.0,0,0,0,0,0.2
12279,1601109903585603585,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T07:02:02.000Z,1.0,0,0,0,0,0.1787878787878788
12326,1601109252499963904,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:59:27.000Z,1.0,0,0,0,0,0.2
12327,1601109227484811264,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:59:21.000Z,1.0,0,0,0,0,0.1787878787878788
12364,1601108707521495041,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:57:17.000Z,1.0,0,0,0,0,0.1787878787878788
12572,1601105736641040385,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:45:29.000Z,1.0,0,0,0,0,0.2
12622,1601105115372736514,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:43:01.000Z,1.0,0,0,0,0,0.1787878787878788
12623,1601105107172458501,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:42:59.000Z,1.0,0,0,0,0,0.2
12668,1601104602770079744,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:40:59.000Z,1.0,0,0,0,0,0.1787878787878788
12766,1601103474682261505,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:36:30.000Z,1.0,0,0,0,0,0.1787878787878788
12808,1601103013707276288,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:34:40.000Z,1.0,0,0,0,0,0.1787878787878788
12809,1601103010817773568,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:34:39.000Z,1.0,0,0,0,0,0.2
12855,1601102504028434437,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:32:38.000Z,1.0,0,0,0,0,0.1787878787878788
12856,1601102498332545025,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:32:37.000Z,1.0,0,0,0,0,0.2
12910,1601102015979192320,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:30:42.000Z,1.0,0,0,0,0,0.2
12913,1601101993963319296,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:30:37.000Z,1.0,0,0,0,0,0.1787878787878788
12965,1601101498750218240,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:28:38.000Z,1.0,0,0,0,0,0.1787878787878788
12967,1601101488197341185,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:28:36.000Z,1.0,0,0,0,0,0.2
12984,1601101157707182080,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:27:17.000Z,1.0,0,0,0,0,0.1787878787878788
12986,1601101125381300224,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:27:09.000Z,1.0,0,0,0,0,0.2
13010,1601100709919100929,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:25:30.000Z,1.0,0,0,0,0,0.1787878787878788
13014,1601100683461419008,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:25:24.000Z,1.0,0,0,0,0,0.2
13258,1601097762384510976,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:13:48.000Z,1.0,0,0,0,0,0.2
13259,1601097761675673602,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:13:47.000Z,1.0,0,0,0,0,0.1787878787878788
13300,1601097408376901632,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:12:23.000Z,1.0,0,0,0,0,0.2
13335,1601097044189646849,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:10:56.000Z,1.0,0,0,0,0,0.1787878787878788
13387,1601096686616838150,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:09:31.000Z,1.0,0,0,0,0,0.2
13388,1601096679750799360,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:09:30.000Z,1.0,0,0,0,0,0.1787878787878788
13417,1601096371108737027,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:08:16.000Z,1.0,0,0,0,0,0.1787878787878788
13418,1601096364917927937,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:08:14.000Z,1.0,0,0,0,0,0.2
13445,1601096057231843329,Are you ready to drop in This is Call of Duty MW,2022-12-09T06:07:01.000Z,1.0,0,0,1,0,0.2
13447,1601096056980197377,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:07:01.000Z,1.0,0,0,0,0,0.1787878787878788
13494,1601095578657517568,Get ready for a whole new way to experience Call of Duty Put your precision teamwork and mind to the test in Raid Episode   Atomgrad  coming to on Dec,2022-12-09T06:05:07.000Z,1.0,0,0,0,0,0.1787878787878788
14202,1601088269470830592,Call of Duty dead silent after winning no awards at   Game doesnt even deserve a single nomination ,2022-12-09T05:36:04.000Z,1.0,0,0,0,0,-0.034285714285714294
16114,1601076359266463745,Elden Ring is literally just the same game FromSoft has made since Demon Souls  It s the same game over and over again And then people dare to criticize Ubisoft or Activision for Assassin s Creed and Call of Duty ,2022-12-09T04:48:45.000Z,1.0,0,0,1,0,-0.2
18492,1601070003918458880,Call of Duty gets its first raid  which makes sense   ,2022-12-09T04:23:30.000Z,1.0,5,2,45,0,0.25
18744,1601069549259931648,Most nominated games without a win at The Game Awards 7 noms Horizon Forbidden West 5 A Plague Tale  Requiem 3 Apex LegendsCall of Duty  Modern Warfare IIImmortalitySifuNeon WhiteTunicXenoblade Chronicles,2022-12-09T04:21:41.000Z,1.0,1,0,0,0,0.275
19629,1601068122550988801,Call of Duty  Modern Warfare II Raid Episode Trailer,2022-12-09T04:16:01.000Z,1.0,1,0,2,0,0.2
20732,1601066740523610112,Call of Duty just blending into the lineup like,2022-12-09T04:10:31.000Z,1.0,0,0,2,0,0.0
22483,1601065365458792448,one will say  Lol no xbox games  and i take it as a win  tonight play station show that they do not need Call of duty and all what they were saying to regulators was lies  now there is nothing for block the adquisition of Activizion Blizzard ,2022-12-09T04:05:04.000Z,1.0,0,0,0,0,0.8
24375,1601064387602960384,Call of Duty didn t win shit  Highway robbery ,2022-12-09T04:01:10.000Z,1.0,0,0,0,0,0.30000000000000004
24559,1601064307395284994,Call of Duty  Modern Warfare II Atomgrad Raid Episode coming December th,2022-12-09T04:00:51.000Z,1.0,0,1,0,0,0.2
24995,1601064152889323520,Worst Call of Duty of all time ,2022-12-09T04:00:15.000Z,1.0,0,1,13,0,-1.0
