,id,text,created_at,immortality,retweet_count,reply_count,like_count,quote_count,polarity
4507,1601272784700657666,Best Narrative  Immortality ,2022-12-09T17:49:16.000Z,1.0,0,1,0,0,1.0
9152,1601172963772231680,I Just Wanted to Say  Play Game  Its Such a Amazing Amazing Story and I Loved how Narrates the Story Just Like Play Immortality ,2022-12-09T11:12:37.000Z,1.0,0,1,3,0,0.3
11370,1601128848057597953,No wins for Immortality at is a damn shame ,2022-12-09T08:17:19.000Z,1.0,0,1,0,0,-0.15
11700,1601121088410628097,God of War clearly stole a couple of awards from Immortality during  ,2022-12-09T07:46:29.000Z,1.0,1,0,2,0,0.10000000000000002
12409,1601108058721390592,Catching up on and Immortality didn t win anything  The fuck ,2022-12-09T06:54:43.000Z,1.0,0,1,2,0,0.3333333333333333
15050,1601081546341249024,You know competition was crazy tight this year when gems like Tunic  Immortality  and Plague Tale walked away with only nominations at   Immortality is a masterpiece and I felt a lot of critics barely dipped their toes in before judging ,2022-12-09T05:09:21.000Z,2.0,0,0,0,0,-0.18214285714285713
16397,1601075373256871936,Immortality from is an absolute MUST TRYIn   years of gaming this is unlike anything Ive ever played  Amazing acting  engrossing story   amp an experience that must be tried to be appreciated is,2022-12-09T04:44:50.000Z,1.0,0,0,1,0,0.31999999999999995
16404,1601075348959285249,Every year I watch with friends  And I have to say this was the best edition in years  I m just sad that Immortality didn t get any awards,2022-12-09T04:44:44.000Z,1.0,0,0,1,0,0.25
18744,1601069549259931648,Most nominated games without a win at The Game Awards 7 noms Horizon Forbidden West 5 A Plague Tale  Requiem 3 Apex LegendsCall of Duty  Modern Warfare IIImmortalitySifuNeon WhiteTunicXenoblade Chronicles,2022-12-09T04:21:41.000Z,1.0,1,0,0,0,0.275
26353,1601063688659939329,Games I ve added to my wishlist tonightarty AnimalsDune  AwakeningIMMORTALITYELDEN RING,2022-12-09T03:58:24.000Z,1.0,0,0,2,0,0.0
29945,1601062702897848321,NO WINS FOR PLAGUE TALE OR IMMORTALITY IS GOING TO MAKE ME ENTER MY VILLIAN ERA,2022-12-09T03:54:29.000Z,1.0,1,0,9,0,-0.15
