,id,text,created_at,valorant,retweet_count,reply_count,like_count,quote_count,polarity
639,1601463570801504258,Hey yall  Make sure you go follow my twitch  I stream daily  Apex  Dbd  Valorant and more ,2022-12-10T06:27:23.000Z,1.0,1,0,3,0,0.3333333333333333
1064,1601420518942728192,How to pop off in Valorant,2022-12-10T03:36:19.000Z,1.0,1,0,1,0,0.0
3878,1601286245514371073,I m late but I m LIVE      Quickly warming up the brain  talking about some notable moments from last night  and playing Valorant RANKED    Oh  also I hit Million likes on TikTok last night      ,2022-12-09T18:42:46.000Z,1.0,0,1,7,0,0.11161616161616161
5253,1601254922775035905,I guess Bill Clinton be playing Valorant  watch out yall ,2022-12-09T16:38:18.000Z,1.0,0,0,1,0,0.0
5698,1601243973473153025,Doin Valorant Practice Eventually will get betterPractice Thumbnail,2022-12-09T15:54:47.000Z,1.0,0,0,1,0,0.0
7991,1601198202677755904,Mejor evento eSports League of Legends World Championship EVO  PGL Major Antwerp  The Mid Season Invitational Valorant Champions,2022-12-09T12:52:54.000Z,1.0,0,0,2,0,0.03125
8017,1601197864234807296,Mejor Juego eSports  Valorant Counter Strike Global Offensive DOTA  League of Legends Rocket League,2022-12-09T12:51:34.000Z,1.0,0,0,3,0,0.0
9717,1601160801108119552,ValorantEsports GameJacob Yay WhiteakerEsports AthleteLoudEsports TeamMatheus bzkA TarasconiEsports CoachLeague of Legends World Championship Esports Event4 4,2022-12-09T10:24:17.000Z,1.0,1,1,6,0,0.0
10272,1601149769703096321,Best Esports Game  ValorantBest Esports Athlete  Jaccob yay WhiteakerBest Esports Team  LOUDBest Esports Event  LoL Worlds,2022-12-09T09:40:27.000Z,1.0,0,0,0,0,0.4666666666666666
11235,1601131593485012997,We live in a world where valorant and genshin gets an award and horizon forbidden west doesnt,2022-12-09T08:28:14.000Z,1.0,0,0,0,0,0.13636363636363635
11729,1601120468739596288,Riot Games scooped up accolades as VALORANT       and Arcane    win big at  ,2022-12-09T07:44:01.000Z,1.0,0,0,1,0,0.4
11770,1601119585310498817,Valorant Won best esports game        The fuck        ,2022-12-09T07:40:31.000Z,1.0,0,0,0,0,0.06666666666666665
12902,1601102078876995584,Still dont care for   too much hype trains and bigger communities like lol and valorant,2022-12-09T06:30:57.000Z,1.0,0,0,3,0,0.3333333333333333
13435,1601096144888950785,Gran Turismo   Best Sports Racing GameBayonetta   Best Action GameVALORANT   Best EsportsGenshin Impact   Player s Voice,2022-12-09T06:07:22.000Z,1.0,0,0,0,0,0.775
16598,1601074616163717120,Best Adaptation  Arcane  Riot Games Best Esports Game  Valorant  Riot Games Best Esports Event  LOL Worlds  Riot Games Best Esports Team  Loud  Valorant Best Esports Coach  Loud bzkA  Valorant Best Esports Player  Yay  Valorant Riot is op ngl,2022-12-09T04:41:49.000Z,4.0,0,0,1,0,0.6599999999999999
17158,1601072890207617024,Best Adaptation  Arcane  Riot Games Best Esports Game  Valorant  Riot Games Best Esports Event  LOL Worlds  Riot Games Best Esports Team  Loud  Valorant Best Esports Coach  Loud bzkA  Valorant Best Esports Player  Yay  Valorant Riot is op ngl,2022-12-09T04:34:58.000Z,4.0,0,1,1,1,0.6599999999999999
17206,1601072772251516928,Very quick awards summary     Best Mobile Game  Marvel Snap  Best Fighting Game  Multiversus  Best Esports Game  Valorant  Best Esports Athelte  Yay  Best Esports Team  Loud  Best Esports Coach  Bzka  Best Esports Event  LoL World Championship,2022-12-09T04:34:30.000Z,1.0,1,1,0,0,0.5487179487179487
18741,1601069555664572416,Valorant Won The Best Esports Game Award at Full List ,2022-12-09T04:21:43.000Z,1.0,0,0,1,0,0.31666666666666665
24438,1601064360146718720,Where are the mods   Bill Clinton play Valorant  ,2022-12-09T04:01:04.000Z,1.0,0,0,1,1,0.0
